,Date,Nikkei,Nikkei_Returns,Nikkei_20-day_Vol,Nikkei_50-day_Vol,Nikkei_100-day_Vol,Nikkei_21-day_MA,Nikkei_55-day_MA,Nikkei_100-day_MA
15389,2011-02-17,10836.64,0.002619552589137924,14.28525216786043,12.326068834572581,15.50346458602226,10515.84095238097,10386.594000000006,10024.993699999975
15390,2011-02-18,10842.8,0.0005682803767789104,13.484762375097468,12.326947907671219,15.40489434950831,10529.44571428573,10401.198363636371,10037.160799999976
15391,2011-02-21,10857.53,0.0013575832498696908,11.797413252361835,12.314837492172142,15.393293520686003,10549.456190476207,10414.4990909091,10049.714999999976
15392,2011-02-22,10664.7,-0.017919626357569943,13.74611569348801,13.01536561009478,15.668123873659617,10568.036190476207,10427.729272727278,10060.698799999976
15393,2011-02-23,10579.1,-0.008058865483205783,13.616385035523642,13.041254442478763,15.637433148020211,10579.178571428589,10438.47563636364,10071.773099999977
15394,2011-02-24,10452.71,-0.012019081715140009,14.152215547449062,13.301860518350667,15.639895964309853,10578.620952380968,10443.64272727273,10080.268799999976
15395,2011-02-25,10526.76,0.007059311557090008,14.132957732025432,13.271446143801136,15.549374280142402,10584.566666666684,10449.978000000005,10090.578799999976
15396,2011-02-28,10624.09,0.009203477592536856,13.781090379571118,13.309186884808419,15.578030114207642,10591.49190476192,10458.28454545455,10101.225899999976
15397,2011-03-01,10754.03,0.012156503959518498,13.384849719987594,13.55672769163341,15.308705893924754,10610.239047619063,10469.428727272732,10115.072699999975
15398,2011-03-02,10492.38,-0.024631288623577018,16.409925416497405,14.688003725696285,15.840050166184175,10622.356190476206,10474.156909090916,10125.954199999976
15399,2011-03-03,10586.02,0.00888498330206975,15.48893798147127,14.812098036965827,15.877133921706305,10637.190476190492,10479.614000000007,10138.003799999975
15400,2011-03-04,10693.66,0.010116779770283349,15.79659779970819,14.964269757414478,15.796030159562319,10648.442857142873,10488.372363636372,10149.752799999977
15401,2011-03-07,10505.02,-0.017797804341574696,16.728419604140875,15.391090573919481,15.841216107985307,10651.950476190492,10492.211090909099,10157.888699999976
15402,2011-03-08,10525.19,0.001918193511578687,16.654734011090994,15.033643074853753,15.840169337020809,10651.077619047635,10496.000545454552,10166.292499999974
15403,2011-03-09,10589.5,0.006091512483481821,16.738012468891064,15.076001680534354,15.766409009551948,10650.956666666681,10501.08636363637,10176.298699999974
15404,2011-03-10,10434.38,-0.014756820810366838,17.508702353112287,15.378684167432086,15.575649671593542,10641.356666666681,10503.32436363637,10186.756099999975
15405,2011-03-11,10254.43,-0.01739631599819396,18.45636241768049,15.785432469168978,15.84537709787619,10624.05190476192,10502.42618181819,10195.265299999975
15406,2011-03-14,9620.49,-0.06381460840557872,27.63589816442149,20.970567492249664,18.46995699363336,10577.13952380954,10491.591272727279,10195.635099999974
15407,2011-03-15,8605.15,-0.11153433769406677,44.871965440423445,31.374477406830664,24.917487968614157,10476.168571428585,10459.493454545462,10186.684099999975
15408,2011-03-16,9093.72,0.055223204159939414,50.63194908769291,34.10644991580051,26.544474859878765,10397.45666666668,10436.716000000006,10182.636399999974
15409,2011-03-17,8962.67,-0.014515891729505308,50.51449199695915,33.943238201449894,26.628068458884478,10309.570000000014,10412.77927272728,10176.868599999976
15410,2011-03-18,9206.75,0.026868737016346036,52.04438926315057,34.603612522897365,26.86156973404946,10231.956190476205,10391.88400000001,10175.120099999976
15411,2011-03-22,9608.32,0.042692479117655516,55.08380527816278,35.92025563154244,27.740944331098444,10173.171428571444,10379.442000000008,10177.438499999975
15412,2011-03-23,9449.47,-0.016670734524984788,55.049291602703576,36.07075550417219,27.858754750988503,10106.120952380968,10363.168000000007,10177.666099999975
15413,2011-03-24,9435.01,-0.0015314165733987975,55.057130324277715,36.070186230276,27.856267100504212,10047.564285714301,10348.733272727279,10178.004599999975
15414,2011-03-25,9536.13,0.010660504077042323,55.27158048560192,36.17873081596976,27.90265407183641,9997.899047619063,10333.061090909097,10179.592099999974
15415,2011-03-28,9478.53,-0.006058501828170847,55.11913649276975,36.131989720499966,27.920674491374047,9951.50952380954,10316.656727272733,10180.507099999975
15416,2011-03-29,9459.08,-0.002054114203315067,54.887044186315556,36.10024703661358,27.920269472407504,9900.667619047634,10297.189818181823,10181.437599999974
15417,2011-03-30,9708.79,0.026056533989161745,55.70824658883322,36.65031077216416,28.079433817261922,9857.08190476192,10282.058000000005,10186.500999999975
15418,2011-03-31,9755.1,0.004758564437703542,55.290186793388166,36.67037846147915,28.070831412890946,9809.513809523825,10268.320181818186,10192.504799999975
15419,2011-04-01,9708.39,-0.004799765065195145,55.11054463435876,36.66165787426549,28.08480604834889,9772.180952380968,10253.69454545455,10197.988899999975
15420,2011-04-04,9718.89,0.0010809543098575498,54.90067128872512,36.594446361558774,27.883073083081623,9730.889047619065,10237.860545454549,10201.589999999975
15421,2011-04-05,9615.55,-0.010689834727602899,54.728902824399405,36.51058092651229,27.57296427388497,9679.550476190492,10221.797090909095,10201.485599999976
15422,2011-04-06,9584.37,-0.0032479330549285107,54.68761668179645,36.46821214985522,27.52175082180171,9635.710000000017,10205.097272727277,10200.000099999976
15423,2011-04-07,9590.93,0.0006842135722436027,54.58723052329143,36.3536421504285,27.514661315534887,9591.221428571445,10188.223636363642,10198.964499999976
15424,2011-04-08,9768.08,0.018302066572894567,55.02351472841854,36.61141220204311,27.581039261783495,9552.106190476206,10173.877818181823,10198.340099999976
15425,2011-04-11,9719.7,-0.004965172984547826,54.76504201114631,36.571122619203365,27.58815612079088,9518.073809523825,10160.830363636367,10196.922499999975
15426,2011-04-12,9555.26,-0.017062965592127038,50.41621090893823,36.67237539109667,27.63156591753016,9484.780000000017,10147.752909090912,10195.226999999975
15427,2011-04-13,9641.18,0.008951719563996353,31.360532668733764,36.6644024395352,27.617391671937607,9485.765238095255,10134.954181818186,10193.363699999976
15428,2011-04-14,9653.92,0.0013205427130587627,24.945930700446404,36.65366093165573,27.613846015560068,9535.706666666685,10120.217818181822,10191.931899999976
